sorgu|1st|2nd|3rd|4th|5th
Doğu Anadolu Bölgesi'nde tarım alanlarının kapladığı yüzölçümü ne kadardır?|Doğu Anadolu Bölgesi|Tarım|Güneydoğu Anadolu Bölgesi|Anadolu Selçuklu Devleti|Durağan
Bu metinde hangi Mısır tanrılarından bahsedilmektedir?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Mısır Kupası
Terry Gilliam hangi filmin çekimlerini tamamlayamadan askıya almıştır?|Terry Gilliam|It Comes at Night|Ben-Hur (film, 2016)|Feryada Gücüm Yok|Programlama dili
Avrupa Jeologlar Federasyonu, bugün 70.000'den fazla jeologu temsil eden bir organizasyon mudur?|İslam'ın nüfus yapısı|Mikro-|Çince|Avrupa'da konuşulan diller|Brüksel Antlaşması (1965)
Metinde, Mustafa Kemal Atatürk'ün kişisel özellikleri, ilgi alanları, giyim tarzı, dil bilgisi, aile ilişkileri ve aşk hayatı hakkında bilgiler verilmiştir. Ayrıca, Atatürk'ün dönemindeki siyasi ve bilimsel ilişkileri de açıklanmıştır.|Mustafa Kemal Atatürk|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Cemal Granda|Mustafa Kemal Atatürk'ün askerî kariyeri
 Musul Sorunu, Türk-Yunan ilişkileri ve Türkiye'nin Milletler Cemiyeti'ne katılımı hakkında metinden ne anlaşılıyor?|Türkiye|Avrupa Komşuluk Politikası|Ülkeler listesi|Hristos Dandis|Helenleştirme
Eretna Beyliği hangi yıllar arasında hüküm sürmüştür?|Eretna Beyliği|Periplus Maris Erythraei|Mehmedoğlu Hızır Bey|Programlama dili|Güneri Bey
Hangi şirketi kurarak Francis Ford Coppola ile çalışmaya başlamıştır?|Ford Falcon (Avustralya)|Ford Duratorq motoru|George Lucas|Haydar Yenigün|Francis W. Nye
Metinde Zazaca dilindeki fiil takıları ile ilgili neler söylenmektedir ve bu takılar nasıl oluşmuştur?|Zazaca|Alkıma|Khwe|Okçular, Kovancılar|Flamedramon
İstiklâl Marşı kaç dörtlük ve kaç beşlikten oluşur?|İstiklâl Marşı|Gönüllüler Marşı|Aegukka|Mehmet Ali (asker)|Albüm satış sertifikası
Eğer Cengiz Han 1162 yılında doğmuşsa, ölüm tarihi nedir?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Kasım Han
Mustafa Kemal'in cumhuriyet döneminde gerçekleştirdiği önemli değişiklikleri ve devrimleri özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|Cumhuriyet için Seferberlik Buluşması|İsmet İnönü
Antropoloji neyi inceler?|Antropoloji|Tıbbi antropoloji|Marcel Mauss|Kemikbilim|E. E. Evans-Pritchard
Microsoft Windows Server 2022'nin genişletilmiş destek bitiş tarihi ne zamandır?|Microsoft Windows|Windows Messenger|Windows 8|MacOS Server|Windows Live Gallery
Hangi ülkenin parlamentosu, Ermeni Soykırımı'nı tanıyan bir tasarıyı oy çokluğuyla kabul etti|1999 Finlandiya'da Avrupa Parlamentosu seçimleri|Anneli Jäätteenmäki|Devredilemez tek oy|Naregavank|Višegrad Katliamı
Lozan Antlaşması'nın imzalanması ve Cumhuriyetin ilanı süreçleri hakkında bilgi veriniz.|Küçük gruplarda iletişim|Brüksel Antlaşması (1965)|Yerli, Terme|Kırım Cumhuriyeti|Mustafa Kemal Atatürk
Mustafa Kemal'in liderliğindeki milliyetçi hareketin gelişimini özetleyiniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi|41. Türkiye Hükûmeti
Celaleddin Harezmşah, Cengiz Han'ı hangi tarihte İndus nehri sahilinde karşıladı?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Liffey Nehri
Barış Manço ve Moğollar'ın birleşmesiyle oluşturdukları grup hangi adı almıştır?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|Cem Karaca'nın Apaşlar, Kardaşlar, Moğollar ve Ferdy Klein'a Teşekkürleriyle|2020 Yaz Olimpiyatları'nda eskrim - Kadınlar kılıç
Bir dilin ölümü, o dilin artık konuşulmadığı anlamına mı gelir?|Dil|Khwe|Nagyszentmiklós Hazinesi|Ürüng Ağar Toyon|Akalkuli
Anıtkabir derneği ne zaman kurulmuştur?|Anıtkabir|Zaman aşımı|Cumhuriyet için Seferberlik Buluşması|Doğan Güneşspor|Hilary Swank
İsmet İnönü'nün Türkiye'deki görevleri nelerdir?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Ömer Evci|Karamağara Köprüsü
Fikir Kulüpleri Federasyonu'nun dönüşümü hangi dergi ile koordine edilmiştir?|KF Egnatia|Standard AC|Ballinamallard United FC|Aris Lemesu|CG Tarragona
2001'deki Köln Başkonsolosluğu mesajında, Anıtkabir'e gerçekleştirilmek istenen saldırının planlandığı tarih belirtilmemiş olsa da, 11 Eylül saldırılarından kaç gün sonra bu mesaj Dışişleri Bakanlığına iletildi?|Anıtkabir|Taner Yalçın|Köln Katedrali|Faruk Kaymakcı|Ferhat Kıskanç
İsmet İnönü'nün ölüm tarihi nedir?|Kümbet, İnönü|İsmet İnönü|Mevhibe İnönü|Ömer Evci|Social Security Death Index
Osmanlı İmparatorluğu'nun başkenti Konya mıdır?|Atina Antlaşması (1913)|Düyûn-ı Umûmiye|Hüsnü Tuna|Yergöğü Mütarekesi (1772)|Lasva Muharebesi
Hangi Windows sürümü, ilk defa 32 bit işlemcilere geçiş yapmıştır?|Microsoft Windows|Windows 8|Windows Messenger|Windows Live Gallery|Wine
AK Parti döneminde Türkiye'nin altyapı alanındaki gelişmeler nelerdir?|Fevai Arslan|Hasan Çilez|Ayhan Gider|Abdullah Gül|Hak ve Eşitlik Partisi
Tüm İlerici Gençler Derneği, hangi tarihte kurulmuştur?|Tüm İlerici Gençlik Derneği|Programlama dili|Periplus Maris Erythraei|Dünya 20 Yaş Altı Atletizm Şampiyonası|Hilary Swank
Yehuling Savaşı ne zaman gerçekleşti?|637|Dünya savaşı|MÖ 333|Zaman aşımı|Lazkiye Kuşatması
Cengiz Han'ın Çin'e karşı seferi için kaç asker toplandı?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Karabağ Han Sarayı
Coğrafyanın pratik alanlarında hangi teknolojik gelişmelerin yaşanması coğrafik araştırmalarda nasıl bir etki yaratmıştır?|Coğrafya|Programlama dili|Serir|Periplus Maris Erythraei|Avından el alan
Mustafa Kemal'in askeri stratejileri ve savaşlardaki başarıları hakkında bilgi veriniz.|Mustafa Kemal Atatürk'ün askerî kariyeri|Mustafa Kemal Atatürk|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi|Askerî devrim
2022'de Türkiye hangi ülkeyi arabulucu olarak görev yaparak Ukrayna ile esir takasında bulundu?|Oleksandr Şapoval|Yevhen Marçuk|Arseniy Yatsenyuk|2016 Avrupa Futbol Şampiyonası C Grubu|2020 Avrupa Futbol Şampiyonası C Grubu
Yoda'nın öğrencileri arasında Luke Skywalker var mıdır? |Yoda|Tusken Akıncıları|Kylo Ren|Örümcek Ayak|Star Wars Jedi Knight: Jedi Academy
Metinde spam ile ilgili olarak hangi tür eylemler ve yöntemler kullanılmaktadır?|Spam|Mine çiçeğigiller|Türler sorunu|Şantajcıdan Etkilenen ve Yolsuzluk Yapan Örgütler Yasası|Programlama dili
1206 yılında kurulan muhafız birliği kaç kişiden oluşmaktadır?|Vestiaritai|6. Ordu|Shelley, Idaho|Köseceli, Besni|Türkiye Yazarlar Birliği
 Coğrafyanın tarihsel gelişimi nasıl şekillenmiştir ve hangi önemli dönemlerde hangi gelişmeler yaşanmıştır?|Coğrafya|Programlama dili|Periplus Maris Erythraei|Tarihi determinizm|Role cetveli
Time Dergisi'nin hangi sayısında Erdoğan'ın fotoğrafı ve Erdoğan'ın Yolu başlığıyla yer almıştır?|Recep Tayyip Erdoğan|Time (anlam ayrımı)|Cennet Gözlüm (film)|Abdullah Gül|TÜGVA
Ekotop kavramı hangi unsurları içerir?|Özne (felsefe)|Programlama dili|Periplus Maris Erythraei|1945'te Billboard'da bir numara olan single'lar listesi|Türler sorunu
Fermantasyon, hücresel solunumun bir parçası mıdır?|Biyoloji|Oksidatif fosforilasyon|Vuelta a Burgos|Sitoloji|Monosit
Ontoloji nedir?|Ontoloji|Varlık neden var|Port address translation|Litecoin|Metafizik
Hangi ülke, Türkiye'nin 2014'te Rusya'nın Kırım'ı ilhakını tanımayacağını açıkça ifade etti?|Kırım Cumhuriyeti|Kırım Tatar lehçeleri|Alime Abdenanova|Türkiye|İkinci Soğuk Savaş
Spor, genellikle rekabete dayalı yarışma ve kişisel eğlence veya mükemmelliğe ulaşmak için yapılan zihinsel veya fiziksel aktivite midir?|Spor|The Ringer|Spor filmi|Küçük gruplarda iletişim|Ağrı (tıp)
Hasnun Galip Binası olarak anılan bina, bugün kulübün Stadyum'dan sorumlu bölümlerine ve Sicil Kurulu'na hizmet vermekte midir?|Galatasaray Beyoğlu Hasnun Galip Kulüp Merkezi|Hongkou Stadyumu|Yusuf Ziya Özcan|Radyo ve Televizyon Yüksek Kurulu|Bakanlar kurulu başkanı
Popülasyon ekolojisinde hangi veriler kullanılır?|Ekoloji|Programlama dili|Periplus Maris Erythraei|Fotokapan|Kanonik
Büyük İskender, Mısır'ı kolaylıkla fethedebilmiş ve Mısırlılar tarafından kurtarıcı olarak karşılanmış mıdır?|Antik Mısır|MÖ 333|Aşağı Mısır|1952 Mısır Devrimi|Mısır Kupası
15 Temmuz 2016'da Türkiye'de gerçekleşen darbe girişimi ne tür bir girişimdir?|Mine çiçeğigiller|15 Temmuz Şehitler Köprüsü (Adana)|Türkiye|Alanyaspor 2016-17 sezonu|İzmir Üniversitesi
Terry Gilliam'ın ilk bağımsız filmi hangisidir?|Terry Gilliam|Bağımsızlık (olasılık teorisi)|Acı Hayat|Zombi - Ölüm Günü|The Kickback
Galatasaray Lisesi'nin tarihçesi ve gelişimi hakkında ne söylenebilir?|Galatasaray SK|Galatasaray Lisesi|Galatasaray Beyoğlu Hasnun Galip Kulüp Merkezi|Ahmet Reşat Arığ|Kırıkuşağı, Feke
Naqada Kültürü Badari Kültürü'ne benzer özellikler gösterir mi?|Yüksek kültür|Lazura|Ög (ev türü)|Garajistanbul|Oron Gölü
Orta Çağ'da İslam dünyası oldukça ileri düzeyde bir uygarlığa sahip miydi?|Avrupa İslamı|Platonculuk|Bosna Hersek İslam Birliği|Efeoğlu Höyüğü|Erken İslam Tarihçiliği
Barış Manço'ya hangi ödül 1991 yılında Japonya Soka Üniversitesi tarafından verilmiştir?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|2016 Yaz Olimpiyatları'nda Japonya|En İyi Yeni Sanatçı Grammy Ödülü
Hücre teorisi, tüm canlıların bir veya daha fazla hücreden oluştuğunu mu belirtir?|Sitoloji|Biyoloji|Oligosakkarit|Protoplast|Küçük gruplarda iletişim
Cengiz Han'ın doğumundan önce kaç yıl yaşadığı tahmin ediliyor?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Karabağ Han Sarayı
Ardahan ne zaman bir il olmuştur?|Ardahan (il)|Doğankaya, Çıldır|Arıkonak, Hanak|Türkiye'nin illeri|Zaman aşımı
Kimya mühendisliği sadece ticari kimyasalların üretimiyle mi ilgilenir?|Mühendislik|Bilgisayar mühendisliği|Elektronik mühendisliği|Ticari yazılım|Biyokimya mühendisliği
Mançurya'daki Liao hanedanı hangi tarihte Jin'den ayrılarak Cengiz Han'a bağlı bir prenslik haline getirildi?|Cengiz Han|Yeni Han|Burhan Haldun Dağı|Moğolistan tarihi|Jingzong (Liao)
Metinde Atatürk dönemindeki önemli olaylar ve politikalar nelerdir?|Konya Atatürk Evi Müzesi|İzmir Atatürk Müzesi|Mustafa Kemal Atatürk|Cemal Granda|MÖ 21. yüzyıl
Yoda, Qui-Gon Jinn'in ruhu ile iletişim kurabilmekte midir?|Yoda|Küçük gruplarda iletişim|Yönlendirici|Alain Bergeron|Valérie Donzelli
Mısır yazı geleneğinin, anıt mezarlardaki özgeçmişlerde geliştiği doğru mu?|Antik Mısır|Aşağı Mısır|El-Hevemdeyye|1952 Mısır Devrimi|Mısır Kupası
Sanal Ortamda İşlenen Suçlar Sözleşmesi'nin imzalandığı tarih ve yer nedir?|Ontoloji|Şantajcıdan Etkilenen ve Yolsuzluk Yapan Örgütler Yasası|Ömer Kulga|Adnan Sadık Erzi|Üç boyutlu ses
Kadı Burhaneddin hangi yıl Eretna Devleti'ne son vererek kendi adıyla anılan devleti kurmuştur?|Eretna Beyliği|Nizârî-İsmaili Devleti|1398|1787-1792 Osmanlı-Rus Savaşı|Abdurrahman Paşa
Şeref Holü'nün yanlarındaki galerilerin ölçüleri nedir?|Anıtkabir|Ontoloji|Eddie Borysewicz|Clarence Avant|Abdulgani, Vezirköprü
Atılım dergisi nedir ve ne zaman yayınlanmaya başlamıştır?|Atılım (gazete)|Ontoloji|The Christian Science Monitor|Rauf Tunçay|Caminho das Índias
Hangi gazete Katil ve Hırsız Erdoğan manşetiyle çıkmıştır?|Recep Tayyip Erdoğan|Zodiac|Gazete (gazete)|Dedektif Conan: Gümüş Gökyüzünün Büyücüsü|Küfizade Asaf Bey
Barış Manço hangi şarkısının klibinde, çeşitli şehirleri gezip şarkıya sosyal iletiler eklemiştir?|Barış Manço|Renkli Rüyalar Oteli|Gandhi Barış Ödülü|Sosyal dışlanma|Nefise Karatay
İsmet İnönü'nün liderliğindeki CHP hangi seçimde %40 oy aldı ve hangi partiye iktidarı bıraktı?|İsmet İnönü|Kümbet, İnönü|Mevhibe İnönü|1970 Birleşik Krallık genel seçimleri|Devredilemez tek oy
Dil, bir göstergeler sistemi olarak tasarlanabilir mi?|Dil|Güzelova, İdil|Doğal dil üretme|Betimsel istatistik|Sindirim
Barış Manço, Les Mistigris ile hangi ülkelerde konserler vermiştir?|Barış Manço|İzel konserleri|Renkli Rüyalar Oteli|Roger Martin du Gard|Gandhi Barış Ödülü
Merv'deki katliamda kaç kişi öldürüldü?|Abdullah bin Mübarek|Demiryolu kazaları listesi (2010-günümüz)|Trans-Hazar Oblastı|Waşikur Rahman|Rusape
Metinde, Ferrari'nin kuruluş süreci ve kurucusu Enzo Ferrari'nin hayatı hakkında bilgiler verilmiştir. Ayrıca şirketin otomobil yarışçılığındaki başarıları ve maddi zorluklarla karşılaşması ele alınmıştır.|Ferrari|Ferrari F93A|Giancarlo Fisichella|Otomobil|Ferrari 195 S
SPAM e-postaların finansal etkileri nelerdir ve bu durum kurumlar için nasıl bir mali yük oluşturur?|Spam|Kaldıraç|Depreme hazırlık|Antik Mısır|Dil
Doğal sayılar hangi sayıların kümesini ifade eder?|Sayı|87 (sayı)|Cebirsel sayı alanı|Doğal dil üretme|Dosya tanımlayıcı
John Forbes Kerry kimdir ve siyasi kariyeri nasıl şekillenmiştir?|2004 Amerika Birleşik Devletleri başkanlık seçimleri|John Kerry|Türkiye'deki siyasi partiler listesi|John Witherspoon (anlam ayrımı)|John Edwards
Türkçe, Altay dil ailesine mi aittir?|Dil|Güzelova, İdil|1. Uluslararası Türkçe Olimpiyatları|Doğal dil üretme|Oktay Kuday
Aristoteles gibi Antik Yunan filozofları biyolojik bilginin gelişimine katkıda bulunmuşlar mıdır?|Martin Litchfield West|Rodoslu Eudemos|Hristos Dandis|Francis Bradley|Alkistis Protopsalti
Barış Manço'nun televizyon programı olan 7'den 77'ye, hangi yıl başlamıştır ve hangi kanalda yayınlanmıştır?|Barış Manço|Renkli Rüyalar Oteli|Programlama dili|Gandhi Barış Ödülü|Hustle
Dil yozlaşmasının nedenleri arasında medyanın etkisi de bulunmakta mıdır?|Dil|Güzelova, İdil|Doğal dil üretme|2005 Fransa Bisiklet Turu'ndaki takımlar ve bisikletçiler listesi|Tokatçık
Eski Mısır'daki sanat, sadece dinsel ve politik amaçlar için mi kullanıldı?|Antik Mısır|Aşağı Mısır|Modern Sanat Müzesi|El-Hevemdeyye|1952 Mısır Devrimi
Uğur Mumcu'nun hakkında hangi belgeseller hazırlanmıştır ve kimler tarafından yönetilmiştir?|Uğur Mumcu|Uğur Mumcu, Çiğli|Buğra Uğur|Uğur Yanıkdemir|Kızılcaşehir, Alanya
Metafizikte hangi temel konular incelenir?|Programlama dili|Periplus Maris Erythraei|Metafizik|El-Navaciya|Koşma (edebiyat)
Orta Krallık Dönemi, 2. Mentuhotep'in Mısır'da siyasal birliği yeniden kurmasıyla başladı mı? |Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|Britanya Faşistler Birliği|El-Hevemdeyye
S. Murat Demiral, 1993 yılında öğretim görevlisi olarak çalışmış mıdır?|Hacettepe Üniversitesi Felsefe Bölümü|Murat Koca (anlam ayrımı)|S. Murat Demiral|Atilla Yücel (anlam ayrımı)|Karacabey Meslek Yüksekokulu
 Hibrid veya Melez terimleri hangi anlamlara gelebilir?|Hibrit|Arslanoğlu|Adam's Rib|Telefol|SAAM
Alfred Wegener'in kıta kayması teorisi 1960'larda kabul görmüş müdür?|Jeoloji|1960 FA Charity Shield|Sınıf alan teorisi|Ben Öldükçe Yaşarım|Hesaplanabilir fonksiyon
Ulusal Mühendislik Akademisi'ne göre, tarımdaki makineleşme bir devrim midir?|Mühendislik|Ulusal Birlik Partisi|Proleter devrim|Gönüllüler Marşı|Tarım
Büyükbaş hayvanlar, Eski Mısır'da en önemli çiftlik hayvanlarından biri miydi?|Antik Mısır|Aşağı Mısır|1952 Mısır Devrimi|El-Hevemdeyye|Kahire Kulesi
Danimarka ve Hollanda, süt ürünleri ihracatıyla Avrupa'da öne mi geçmiştir?|16 Mayıs 1644 Eylemi|Roskilde Antlaşması|Danimarka'da din|Birinci Schleswig-Holstein Savaşı|Vejetaryenlik
Dinin kökeni hakkında bilimsel olarak kesin bir sonuca varılmış mıdır?|Din|Bilimsel Gelişme için Amerikan Birliği|Sonculun kabulü|Kesin Nokta Konumlandırma|Deizm
Mistisizm, fiziksel disiplinlerle ruhani hakikat veya tanrı ile birleşmeyi denemeye odaklanır mı?|Deizm|Mısır tanrıları listesi|Bilgelik|Annuna|Kaodaizm
Gençlerbirliği'nin Türkiye Futbol Şampiyonası'nda kaç kez şampiyon olduğu bilgisini verir misiniz?|Gençlerbirliği SK|Fenerbahçe Masa Tenisi Şubesi 2011-12 sezonu|GAIS|FC Sochaux-Montbéliard|Fenerbahçe (futbol takımı) istatistikleri ve rekorları listesi
Metinde, toplum bilimcilerin çalışma alanları, toplum biliminin diğer bilimlerle ilişkisi, araştırma yöntemleri ve sosyal teoriler hakkında bilgiler verilmektedir.|Sosyoloji|Sosyal dışlanma|Fizik|Ondokuz Mayıs Üniversitesi|Sema Silkin Ün
Yazılım mühendisliğinin tanımı kim tarafından yapılmıştır?|Yazılım mühendisliği|Özgür yazılım|Ticari yazılım|Bilgisayar mühendisliği|Kim Busik
Metinde otomobil teknolojisinin ve yeniliklerinin tarihçesi hakkında neler söylenmektedir?|Otomobil|Kırıkuşağı, Feke|Bahman Group|Mercedes 35 HP|Peugeot Type 68
Koyunların kuzulama dönemleri genellikle bahar aylarında mıdır?|Kuzugöbeği|Kengen|Enkyō (Edo)|Kenkyū|Burak Kut (albüm)
Cumhurbaşkanlığı Sarayı'nın inşası hangi doğal alan üzerine gerçekleşti?|2012 Güney Kore cumhurbaşkanlığı seçimi|1923 Türkiye cumhurbaşkanlığı seçimi|1927 Türkiye cumhurbaşkanlığı seçimi|Mecidiye Köşkü|637
Galatasaray, 1953 yılında Türkiye Kürek Şampiyonası'nda Kadın ve Erkek Kürek Takımlarıyla şampiyon olmuş mudur?|Galatasaray SK|Fenerbahçe Masa Tenisi Şubesi 2011-12 sezonu|Muzaffer Selvi|Galatasaray Lisesi|2020 Yaz Olimpiyatları'nda kürek - Erkekler iki çifte
Dersim Vilayeti hangi yıl ve hangi Osmanlı vilayetinden ayrılarak oluşturulmuştur?|Dersim (anlam ayrımı)|Dersim'in Kayıp Kızları|Tunceli (il)|Programlama dili|Priştine Sancağı
Simbiyoz, her iki taraf için de faydalı olan bir ilişki türü müdür?|Meme ilişkisi|Avnillah sınıfı zırhlı korvet|Biyoloji|Bir Ofis Romansı|Tuva yemekleri
Eski Mısırlıların giysileri genellikle renkli ve desenli miydi?|Askerî tören şapkası|Iris albicans|Antik Mısır|MF Samsun|Allium flavum
Mazgirt'in rakımı nedir?|Mazgirt|Gömemiş, Tunceli|Aktarla|Ontoloji|Hacıömeroğlu, Yunak
 Verilen e-posta örneğinde ne tür bir dolandırıcılık girişimi yer almaktadır ve spam e-postaların finansal etkileri nelerdir?|Spam|Posta|Europa posta pulları|Mine çiçeğigiller|Çin'in posta tarihi ve posta pulları
Metinde otomobilin gelişmesine katkıda bulunan kişiler ve otomobilin çeşitli yönleri hakkında neler anlatılmaktadır?|MÖ 21. yüzyıl|Anime News Network|Pops Stables|Ekim Devrimi Nişanı|World Solar Challenge
Hangi tür sismik dalgalar Dünya'nın içinden geçer?|Mine çiçeğigiller|Deprem|Sismotektonik|Türler sorunu|Dünya savaşı
Windows 7 hangi yıl piyasaya sürülmüştür?|Microsoft Windows|Windows 8|Windows Messenger|Windows Live Gallery|Microsoft Lumia 430
 Bill Clinton'un Saray'dan ayrıldıktan sonraki faaliyetleri nelerdir?|Bill Clinton|Bill & Melinda Gates Vakfı|200 M.P.H.|John Edwards|Kuropalatis
Norfolk'ta yaşayan İngiliz çiftçiler, dörtlü ekim nöbeti sistemini geliştirmişler midir?|Ickburgh|Garboldisham|Mileham|Gimingham|Hoveton
Fotosentezin üçüncü aşamasında NADPH ve ATP mi üretilir?|Adenozin trifosfat|Oksidatif fosforilasyon|Şanghay Masters|Biyoloji|Vufflens-le-Château
DNA parçalarının birleştirilmesini sağlayan enzim hangisidir?|Genetik|Aktif bölge|ACC|Biyoloji|Everett Ruess
Operon, aynı promotörü paylaşan bir gen kümesini ifade eder ve genellikle prokaryotlarda mı bulunur?|Biyoloji|Genetik|Düalite|948|Küçük gruplarda iletişim
Temuçin'in kağan unvanının verildiği yıl hangisidir?|Cengiz Han|Amrak|Kutluk Yabgu Kağan|Şine-usu yazıtı|618
Metinde, sosyoloji disiplininin özellikleri, sosyolojik bakış açısı, sosyal teori ve sosyal bilimlerle ilişkisi hakkında bilgiler verilmektedir.|Sosyal dışlanma|Sosyoloji|Sosyal televizyon|Niyazi Mısri Sosyal Bilimler Lisesi|Yusuf Ziya Özcan
Metinde hangi uluslararası anlaşmalar ve antlaşmalar, hangi tarihlerde imzalandı ve hangi önemli maddeleri içeriyorlar?|Programlama dili|Periplus Maris Erythraei|Role cetveli|Uluslararası Arama Kurtarma Danışma Grubu|2019 Eurovision Şarkı Yarışması'nda İsviçre
Mobil cihazlar için Linux tabanlı işletim sistemi hangi marka tarafından geliştirilmiştir?|Linux|Suse|TRESemmé|Linux Belgelendirme Çalışma Grubu|Ice Cream Cones (marka)
